# Path, Multiple keys, Type, Details
1,,object
1/1,,object
1/1/2,,int
1/1/3,,int
1/1/4,,int
1/3,,string
1/5,,int
1/12,,object
1/12/1,,object
1/12/1/1,,int
1/12/1/2,,object
1/12/1/2/1,,int
1/12/1/2/2,,int
1/12/1/5,*,object
1/12/1/5/1,,int
1/12/1/5/11,,object
1/12/1/5/11/1,,string
1/12/1/5/11/2,,int
1/12/1/5/22,,unknown,EmptyData
1/12/1/5/23,,object
1/12/1/5/23/1,,object
1/12/1/5/23/1/3,,string
1/12/1/5/28,,unknown,EmptyData
1/12/1/5/48,,object
1/12/1/5/48/1,,float32
1/12/1/5/50,,unknown,EmptyData
1/12/1/5/62,,unknown,EmptyData
1/12/1/5/65,,unknown,EmptyData
1/12/1/5/66,,unknown,EmptyData
1/12/1/6,*,object
1/12/1/6/1,,int
1/12/1/6/11,,object
1/12/1/6/11/1,,object
1/12/1/6/11/1/1,,float32
1/12/1/6/11/1/2,,float32
1/12/1/6/11/1/3,,float32
1/12/1/6/11/2,,unknown,EmptyData
1/12/1/6/11/3,,object
1/12/1/6/11/3/1,,float32
1/12/1/6/11/3/2,,float32
1/12/1/6/11/3/3,,float32
1/12/1/6/11/501,,int32
1/12/1/6/12,,unknown,EmptyData
1/12/1/6/13,,unknown,EmptyData
1/12/1/6/14,,object
1/12/1/6/14/1,,int
1/12/1/6/15,,object
1/12/1/6/15/1,,int
1/12/1/6/15/2,,int
1/12/1/6/16,,unknown,EmptyData
1/12/1/6/17,,object
1/12/1/6/17/1,,float32
1/12/1/6/17/2,,float32
1/12/1/6/17/3,,float32
1/12/1/6/17/5,,int
1/12/1/6/17/6,,object
1/12/1/6/17/6/2,,int
1/12/1/6/17/8,,float32
1/12/1/6/17/9,,float32
1/12/1/6/17/10,,float32
1/12/1/6/17/11,,float32
1/12/1/6/17/12,,float32
1/12/1/6/17/13,,float32
1/12/1/6/17/14,,float32
1/12/1/6/17/15,,float32
1/12/1/6/18,,object
1/12/1/6/18/1,,int
1/12/1/6/18/501,,int
1/12/1/6/21,,object
1/12/1/6/21/1,,object
1/12/1/6/21/1/1,,string
1/12/1/6/21/1/2,,unknown,EmptyData
1/12/1/6/21/1/3,,unknown,EmptyData
1/12/1/6/21/1/502,,string
1/12/1/6/21/1/504,,int
1/12/1/6/21/1/505,,string
1/12/1/6/22,,object
1/12/1/6/22/501,,int
1/12/1/6/27,,unknown,EmptyData
1/12/1/6/29,,object
1/12/1/6/29/1,,int
1/12/1/7,*,object
1/12/1/7/1,,int
1/12/1/7/2,,int
1/12/1/7/11,,unknown,EmptyData
1/12/1/7/13,,unknown,EmptyData
1/12/1/7/16,,unknown,EmptyData
1/12/1/7/24,,unknown,EmptyData
1/12/1/7/28,,object
1/12/1/7/28/9,,object
1/12/1/7/28/9/3,,int
1/12/1/7/28/9/4,,int
1/12/1/7/28/9/5,,unknown,EmptyData
1/12/1/7/28/9/6,,unknown,EmptyData
1/12/1/7/28/9/7,,float32
1/12/1/7/28/9/8,,unknown,EmptyData
1/12/1/7/28/9/10,,unknown,EmptyData
1/12/1/7/28/9/11,,int
1/12/1/7/28/9/501,,int
1/12/1/7/28/9/503,,string
1/12/1/7/28/9/507,,int
1/12/1/7/28/10,,object
1/12/1/7/28/10/3,,int
1/12/1/7/28/10/4,,int
1/12/1/7/28/10/5,,unknown,EmptyData
1/12/1/7/28/10/6,,unknown,EmptyData
1/12/1/7/28/10/7,,float32
1/12/1/7/28/10/8,,unknown,EmptyData
1/12/1/7/28/10/10,,unknown,EmptyData
1/12/1/7/28/10/11,,int
1/12/1/7/28/10/501,,int
